あ	あっちこっち うろうろ 迷う。右往左往。
い	色々 試そう いつかは できる。試行錯誤。
う	疑えば 疑うほど 不安。疑心暗鬼。
え	ええっ そんなこと 考えられない。奇想天外。
お	おっと どっこい 危なかったよ。危機一髪。
か	考え方も 性格も みんな 違うぞ。十人十色。
き	気持ちを 入れ替えて やり直そう。心機一転。
く	口々に 同じことを 言う。異口同音。
け	経験 豊富 抜け目が ないぞ。海千山千。
こ	こんなこと 聞いたことも ない。前代未聞。
さ	さあ やるぞ 一度 決めたら。初志貫徹。
し	自然災害 地震 雷。天変地異。
す	すっかり 仲良し 気が合うね。意気投合。
せ	せっかくの 意見も 聞かない。馬耳東風。
そ	そうか 自分の せいだ。自業自得。
た	逞しくて 勇気が あるね。大胆不敵。
ち	調子よく トントン拍子。順風満帆。
つ	強い方が 勝ち 弱ければ 負ける。弱肉強食。
て	天気の 日には 畑で 仕事 雨なら 読書。晴耕雨読。
と	特別 仲良し 心も 一つ。一心同体。
な	投げた 石は 一つ 獲物は 二つ。一石二鳥。
に	似たり寄ったり ほとんど 同じ。大同小異。
ぬ	ぬくぬくと 自分の ことだけ 考える。我田引水。
ね	狙い通りに 全部 命中。百発百中。
の	飲みすぎ 食べすぎ むやみやたらに。暴飲暴食。
は	はらはらさせて 大逆転。起死回生。
ひ	瞳を 最後に 書き入れる。画竜点睛。
ふ	ふさわしい 人に ふさわしい 仕事。適材適所。
へ	平気だよ 一人で できるよ。独立独歩。
ほ	本当かな 疑わしいな。半信半疑。
ま	毎日 どんどん 進歩する。日進月歩。
み	みんな 一度に 捕まえる。一網打尽。
む	むっくりと 転んでも 転んでも 起き上がる。七転八起。
め	目にも 留まらぬ 早業。電光石火。
も	もう 二度と できない 出会い。一期一会。
や	闇の中 手探りで探す。暗中模索。
ゆ	許せない 根も葉も ないこと。事実無根。
よ	喜んだり 怒ったり 人生 色々。喜怒哀楽。
ら	乱暴に 突っ込んで いく。猪突猛進。
り	理屈じゃない 目と 目で 分かる。以心伝心。
る	留守番も うっかりは 失敗の元。油断大敵。
れ	歴史を 知れば 新しいことも 見える。温故知新。
ろ	ろくなことも できないくせに よく食べる。無芸大食。
わ	我ながら よく 書けているね。自画自賛。
を	我を忘れ 時を忘れる。無我夢中。
ん	んっ! これからが 大変。前途多難。
